Rank,Fragment SMILES,Score
449,*c1c(C)cc(=N)[nH]c1C,0.5070083737373352
450,*Cc1nc2ccccc2n1C,0.5069829821586609
451,*c1cc(F)c(O)c(F)c1,0.5067728161811829
452,*c1ccc(C(O)=NO)cc1,0.5067570209503174
453,*c1ccc2nccnc2c1,0.506637454032898
454,*c1ccc(OC)c(O)c1,0.5060375928878784
455,*c1nc2ccc(O)cc2o1,0.5058082938194275
456,*C(=O)c1cc2ccccc2o1,0.5055426955223083
457,*c1cc2cc(C)ccc2s1,0.5052840113639832
458,*c1cc(O)c(Cl)cc1O,0.505231499671936
459,*Oc1cnc2ccccc2c1,0.5048761367797852
460,*c1ncnc2ccccc12,0.504603385925293
461,*c1ccc2c[nH]nc2c1,0.5045468211174011
462,*c1ccc(OC(C)C)cc1,0.5043240785598755
463,*c1ccc(O)c([N+](=O)[O-])c1,0.5042299628257751
464,*c1c(F)cccc1Cl,0.5041292309761047
465,*c1ccc(F)c(F)c1,0.5039961934089661
466,*c1cccc(OC)c1OC,0.5038788318634033
467,*c1ccccc1OCC,0.5036076903343201
468,*c1cccc(O)c1O,0.5035633444786072
469,*c1ccc2cnccc2c1,0.5035498142242432
470,*c1ccc2ccccc2c1O,0.5034928917884827
471,*c1cccc(-n2cncn2)c1,0.5033762454986572
472,*c1cccc(N)c1,0.5033175945281982
473,*c1cccc(C(N)=NO)c1,0.5032610297203064
474,*c1cccc(OCCF)c1,0.5031514167785645
475,*C1(O)CCn2cncc21,0.5031229257583618
476,*c1cccc(NC=O)c1O,0.5030510425567627
477,*c1ccc(OC)c(OC)c1,0.5029252171516418
